Item	Trial Type	Post Trial	Timing	Procedure Notes	Shuffle
9	Passage	No	8	Test trials fill in the blank	OFF
10	Passage	No	8	Test trials fill in the blank	OFF
11	Passage	No	8	Test trials fill in the blank	OFF
12	Passage	No	8	Test trials fill in the blank	OFF
13	Passage	No	8	Test trials fill in the blank	OFF
14	Passage	No	8	Test trials fill in the blank	OFF
15	Passage	No	8	Test trials fill in the blank	OFF
16	Passage	No	8	Test trials fill in the blank	OFF
17	Passage	No	8	Test trials fill in the blank	OFF
18	Passage	No	8	Test trials fill in the blank	OFF
19	Passage	No	8	Test trials fill in the blank	OFF
20	Passage	No	8	Test trials fill in the blank	OFF
21	Passage	No	8	Test trials fill in the blank	OFF
22	Passage	No	8	Test trials fill in the blank	OFF
23	Passage	No	8	Test trials fill in the blank	OFF
24	Passage	No	8	Test trials fill in the blank	OFF
25	Passage	No	8	Test trials fill in the blank	OFF
26	Passage	No	8	Test trials fill in the blank	OFF
27	Passage	No	8	Test trials fill in the blank	OFF
28	Passage	No	8	Test trials fill in the blank	OFF
29	Passage	No	8	Test trials fill in the blank	OFF
30	Passage	No	8	Test trials fill in the blank	OFF
31	Passage	No	user	Pre-test instructions	OFF
40	TestVertical	No	12	study trials	OFF
41	TestVertical	No	12	study trials	OFF
42	TestVertical	No	12	study trials	OFF
43	TestVertical	No	12	study trials	OFF
44	TestVertical	No	12	study trials	OFF
45	TestVertical	No	12	study trials	OFF
46	TestVertical	No	12	study trials	OFF
	TestVertical	No	13	study trials	OFF
47	TestVertical	No	12	study trials	OFF
48	TestVertical	No	12	study trials	OFF
49	TestVertical	No	12	study trials	OFF
50	TestVertical	No	12	study trials	OFF
51	TestVertical	No	12	study trials	OFF
52	TestVertical	No	12	study trials	OFF
53	TestVertical	No	12	study trials	OFF
54	TestVertical	No	12	study trials	OFF
55	TestVertical	No	12	study trials	OFF
56	TestVertical	No	12	study trials	OFF
57	TestVertical	No	12	study trials	OFF
58	TestVertical	No	12	study trials	OFF
59	TestVertical	No	12	study trials	OFF
60	TestVertical	No	12	study trials	OFF
0	StepOut	N/A	30	soTetris.php	OFF
61	Passage	No	User	Instructions	OFF
62	Passage	No	User	Instructions	OFF
63	Passage	No	User	Instructions	OFF
64	FreeRecall	No	User	From what Shakespearian play comes the phase 'pound of flesh'? List candidate answers in the order that they come to mind. 	OFF
65	TestVertical	No	User	Candidate Choice	OFF
66	TestVertical	No	User	Confidence Rating	OFF
67	TestVertical	No	User	Submit?	OFF
72	FreeRecall	No	User	"What famous athlete was originally named Ferdinand Lewis Alcindor, Jr? List candidate answers in the order that they come to mind. "	OFF
73	TestVertical	No	User	Candidate Choice	OFF
74	TestVertical	No	User	Confidence Rating	OFF
75	TestVertical	No	User	Submit?	OFF
76	FreeRecall	No	User	Who wrote the words to 'The Star Spangled Banner'? List candidate answers in the order that they come to mind. 	OFF
77	TestVertical	No	User	Candidate Choice	OFF
78	TestVertical	No	User	Confidence Rating	OFF
79	TestVertical	No	User	Submit?	OFF
80	FreeRecall	No	User	How do you say 'thank you' in Japanese? List candidate answers in the order that they come to mind. 	OFF
81	TestVertical	No	User	Candidate Choice	OFF
82	TestVertical	No	User	Confidence Rating	OFF
83	TestVertical	No	User	Submit?	OFF
84	FreeRecall	No	User	"The spreading of atoms or molecules of one substance through those of another, especially into liquids and gases is known as _______. List candidate answers in the order that they come to mind. "	OFF
85	TestVertical	No	User	Candidate Choice	OFF
86	TestVertical	No	User	Confidence Rating	OFF
87	TestVertical	No	User	Submit?	OFF
88	FreeRecall	No	User	What is the sixth planet from the Sun? List candidate answers in the order that they come to mind. 	OFF
89	TestVertical	No	User	Candidate Choice	OFF
90	TestVertical	No	User	Confidence Rating	OFF
91	TestVertical	No	User	Submit?	OFF
92	FreeRecall	No	User	"What is the term for large, white, puffy clouds that generally appear in fair weather, but that can also form thunderheads on hot days? List candidate answers in the order that they come to mind.  "	OFF
93	TestVertical	No	User	Candidate Choice	OFF
94	TestVertical	No	User	Confidence Rating	OFF
95	TestVertical	No	User	Submit?	OFF
96	FreeRecall	No	User	"What is the name of the phylum within the animal kingdom that includes shrimp, centipedes, insects, and spiders? List candidate answers in the order that they come to mind. "	OFF
97	TestVertical	No	User	Candidate Choice	OFF
98	TestVertical	No	User	Confidence Rating	OFF
99	TestVertical	No	User	Submit?	OFF
100	FreeRecall	No	User	"On the periodic table, what is the symbol for Mercury? List candidate answers in the order that they come to mind.  "	OFF
101	TestVertical	No	User	Candidate Choice	OFF
102	TestVertical	No	User	Confidence Rating	OFF
103	TestVertical	No	User	Submit?	OFF
104	FreeRecall	No	User	"Who invented the cotton gin, a device for processing raw cotton? List candidate answers in the order that they come to mind. "	OFF
105	TestVertical	No	User	Candidate Choice	OFF
106	TestVertical	No	User	Confidence Rating	OFF
107	TestVertical	No	User	Submit?	OFF
108	FreeRecall	No	User	"Who was the legendary hero who, famous for his skill as an archer, was forced to shoot an apple off of his own son's head? List candidate answers in the order that they come to mind. "	OFF
109	TestVertical	No	User	Candidate Choice	OFF
110	TestVertical	No	User	Confidence Rating	OFF
111	TestVertical	No	User	Submit?	OFF
112	FreeRecall	No	User	Animal Farm is a novel written by _____. List candidate answers in the order that they come to mind. 	OFF
113	TestVertical	No	User	Candidate Choice	OFF
114	TestVertical	No	User	Confidence Rating	OFF
115	TestVertical	No	User	Submit?	OFF
116	FreeRecall	No	User	Who was the only college football player to win the Heisman Trophy twice? List candidate answers in the order that they come to mind. 	OFF
117	TestVertical	No	User	Candidate Choice	OFF
118	TestVertical	No	User	Confidence Rating	OFF
119	TestVertical	No	User	Submit?	OFF
120	FreeRecall	No	User	"_____ was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. List candidate answers in the order that they come to mind. "	OFF
121	TestVertical	No	User	Candidate Choice	OFF
122	TestVertical	No	User	Confidence Rating	OFF
123	TestVertical	No	User	Submit?	OFF
124	FreeRecall	No	User	The capital of Uganda is _____. List candidate answers in the order that they come to mind. 	OFF
125	TestVertical	No	User	Candidate Choice	OFF
126	TestVertical	No	User	Confidence Rating	OFF
127	TestVertical	No	User	Submit?	OFF
128	FreeRecall	No	User	Who was the fourth president of the United States? List candidate answers in the order that they come to mind.	OFF
129	TestVertical	No	User	Candidate Choice	OFF
130	TestVertical	No	User	Confidence Rating	OFF
131	TestVertical	No	User	Submit?	OFF
132	FreeRecall	No	User	The Latin translation of 'and so forth' is ______. List candidate answers in the order that they come to mind. 	OFF
133	TestVertical	No	User	Candidate Choice	OFF
134	TestVertical	No	User	Confidence Rating	OFF
135	TestVertical	No	User	Submit?	OFF
136	FreeRecall	No	User	Who was the ancient Greek mathematician that is considered the 'Father of Geometry'? List candidate answers in the order that they come to mind. 	OFF
137	TestVertical	No	User	Candidate Choice	OFF
138	TestVertical	No	User	Confidence Rating	OFF
139	TestVertical	No	User	Submit?	OFF
140	FreeRecall	No	User	"What is the term for a large star in its death throes that suddenly explodes, bringing about a burst of radiation that often briefly outshines the entire galaxy? List candidate answers in the order that they come to mind. "	OFF
141	TestVertical	No	User	Candidate Choice	OFF
142	TestVertical	No	User	Confidence Rating	OFF
143	TestVertical	No	User	Submit?	OFF
144	FreeRecall	No	User	What is the hereditary disease that is caused by a deficiency of a substance in the blood that aids in clotting? List candidate answers in the order that they come to mind. 	OFF
145	TestVertical	No	User	Candidate Choice	OFF
146	TestVertical	No	User	Confidence Rating	OFF
147	TestVertical	No	User	Submit?	OFF
148	FreeRecall	No	User	What is the name of the large bone in the upper arm? List candidate answers in the order that they come to mind. 	OFF
149	TestVertical	No	User	Candidate Choice	OFF
150	TestVertical	No	User	Confidence Rating	OFF
151	TestVertical	No	User	Submit?	OFF
152	FreeRecall	No	User	Ginger comes from what part of a plant? List candidate answers in the order that they come to mind. 	OFF
153	TestVertical	No	User	Candidate Choice	OFF
154	TestVertical	No	User	Confidence Rating	OFF
155	TestVertical	No	User	Submit?	OFF
156	Passage	No	User	Debrief	OFF
