Cue	Target	Answer	Shuffle	Stimuli Notes
The phase 'pound of flesh' comes from the Shakespearian play <u>Merchant of Venice</u>. </font> 	N/A	N/A	OFF	Initial Study
"The famous athlete <u>Kareem Abdul-Jabbar</u> was originally named <br> Ferdinand Lewis Alcindor, Jr.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
 <u>Francis Scott Key</u> wrote the words to 'The Star Spangled Banner'.  </font> <p> </center>	N/A	N/A	OFF	Initial Study
<u>Arigato</u> is 'thank you' in Japanese.</font> <p> </center>	N/A	N/A	OFF	Initial Study
"The spreading of atoms or molecules of one substance through those of <br> another, especially into liquids and gases is known as <u>Diffusion</u>. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
<u>Saturn</u> is the sixth planet from the Sun. </font> <p> </center>	N/A	N/A	OFF	Initial Study
"<u>Cumulus</u> is the term for large, white, puffy clouds that generally appear <br> in fair weather, but that can also form thunderheads on hot days. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"<u>Arthropods</u> is the name of the phylum within the animal kingdom that <br> includes shrimp, centipedes, insects, and spiders. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"On the periodic table, <u>Hg</u> is the symbol for Mercury. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"<u>Eli Whitney</u> invented the cotton gin, a device for processing raw cotton.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"<u>William Tell</u> was the legendary hero who, famous for his skill as  an archer, <br> was forced to shoot an apple off of his own son's head.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
Animal Farm is a novel written by <u>George Orwell</u>. </font> <p> </center>	N/A	N/A	OFF	Initial Study
<u>Archie Griffin</u> was the only college football player to win the Heisman Trophy twice. </font> <p> </center>	N/A	N/A	OFF	Initial Study
"<u>Salvador Dali</u> was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
The capital of Uganda is <u>Kampala</u>. </font> <p> </center>	N/A	N/A	OFF	Initial Study
James <u>Madison</u> was the fourth president of the United States. </font> <p> </center>	N/A	N/A	OFF	Initial Study
The Latin translation of 'and so forth' is <u>et cetera</u>. </font> <p> </center>	N/A	N/A	OFF	Initial Study
<u>Euclid</u> was the ancient Greek mathematician that is considered the <br> 'Father of Geometry'. </font> <p> </center>	N/A	N/A	OFF	Initial Study
"<u>Supernova</u> is the term for a large star in its death throes that suddenly <br> explodes, bringing about a burst of radiation that often briefly outshines the entire galaxy.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
<u>Hemophilia</u> is the hereditary disease that is caused by a deficiency of a <br> substance in the blood that aids in clotting. </font> <p> </center>	N/A	N/A	OFF	Initial Study
The <u>Humorous</u> is the name of the large bone in the upper arm.  </font> <p> </center>	N/A	N/A	OFF	Initial Study
 Ginger comes from the<u> root of a plant</u>.  </font> <p> </center>	N/A	N/A	OFF	Initial Study
You will now review the facts you have learned. Press Next when you are ready. 	N/A	N/A	OFF	Review Instructions
"The phase 'pound of flesh' comes from the Shakespearian play <u>Merchant of Venice</u>, not Julius Caesar, Hamlet, or Romeo and Juliet.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"The famous athlete <u>Kareem Abdul-Jabbar</u>, not Mohammad Ali, Tiger Woods, or Hulk Hogan, was originally named Ferdinand Lewis Alcindor, Jr.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Francis Scott Key</u>, not Robert Schumann, Stephen Foster, or George M. Cohen, wrote the words to 'The Star Spangled Banner'. </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Arigato</u>, not Sayonara, Xie xie, or Obrigado, is 'thank you' in Japanese.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"The spreading of atoms or molecules of one substance through those of another, especially into liquids and gases is known as <u>Diffusion</u>, not Entropy, Diffraction, or Distillation.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Saturn</u>, not Neptune, Uranus, or Jupiter is the sixth planet from the Sun.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Cumulus</u>, not Stratus, Nimbus, or Cirrus, is the term for large, white, puffy clouds that generally appear in fair weather, but that can also form thunderheads on hot days.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Arthropods</u>, not Chordates, Mollusks, or Echinoderms, is the name of the phylum within the animal kingdom that includes shrimp, centipedes, insects, and spiders.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"On the periodic table, <u>Hg</u>, not Ag, Au, or Fe is the symbol for Mercury. </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Eli Whitney</u>, not Robert Fulton, Guglielmo Marconi, or Thomas Edison, invented the cotton gin, a device for processing raw cotton.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>William Tell</u>, not Sir Galahad, Robin Hood, or Sir Lancelot, was the legendary hero who, famous for his skill as an archer, was forced to shoot an apple off of his own son's head. </font> <p> </cent"	N/A	N/A	OFF	Study facts without alternatives
"Animal Farm is a novel written by <u>George Orwell</u>, not Aldous Huxley, Jonathan Swift, or Kurt Vonnegut. </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Archie Griffin</u>, not Earl Campbell, Jay Beranger, or Tim Tebow, was the only college football player to win the Heisman Trophy twice. </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Salvador Dali</u>, not Diego Rivera Francisco Goya, or Pablo Picasso, was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"The capital of Uganda is <u>Kampala</u>, not Addis Ababa, Nairobi, or Lagos . </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"James <u>Madison</u>, not Jefferson, Adams, or Jackson, was the fourth president of the United States. </font> <p>  </center>"	N/A	N/A	OFF	Study facts without alternatives
"The Latin translation of 'and so forth' is <u>et cetera</u>, not ergo, ad hoc, or ad nauseam.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
" <u>Euclid</u>, not Ptolemy, Aristotle, or Archimedes,was the ancient Greek mathematician that is considered the 'Father of Geometry'. </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"<u>Supernova</u>, not Quasar, Pulsar, or Red Giant, is the term for a large star in itsdeath throes that suddenly explodes, bringing about a burst of radiation<br>  that often briefly outshines the entire galaxy.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"
 <u>Hemophilia</u>, not Hodgkin's disease, Polio, or Hepatitis, is the hereditary disease that is caused by a deficiency of a substance in the blood that aids in clotting.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"
The <u>Humorous</u>, not the Ulna, Femur, or Tibia, is the name of the large bone in the upper arm.  </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
"Ginger comes from the <u>root of a plant</u>, not from the stigma of a flower,  dried flower buds, or the seeds of a fruit.   </font> <p> </center>"	N/A	N/A	OFF	Study facts without alternatives
End of Review. You will now be presented the questions again. When thinking of the answer to these questions many candidate answers may come to mind. You will be asked to list these possible answers in the order that they come to mind. Please list all answers that come to mind regardless of how many there may be. 	N/A	N/A	OFF	Post-Trial Instructions
"After listing all candidate answers, you will be asked to choose a final answer. Then, you will be asked to rate your confidence on a scale of 0 to 100, with 0 being a blind guess and 100 being full confidence. "	N/A	N/A	OFF	Post-Trial Instructions
You will then be given the option to submit or withhold your answer. You will gain 1 point (+1) for each correct answer submitted and lose 1 point (-1) for each incorrect answer submitted. There is no reward or penalty for withholding an answer (0 points)	N/A	N/A	OFF	Post-Trial Instructions
"<font size=""5"" color=""black""> From what Shakespearian play comes the phase 'pound of flesh'? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> What famous athlete was originally named Ferdinand Lewis Alcindor, Jr? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> Who wrote the words to 'The Star Spangled Banner'? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> How do you say 'thank you' in Japanese? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black"">The spreading of atoms or molecules of one substance through those of another, especially into liquids and gases is known as _______. List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
