Cue	Target	Answer	Shuffle	Stimuli Notes
The phase 'pound of flesh' comes from the Shakespearian play <u>Merchant of Venice</u>. </font> 	N/A	N/A	OFF	Restudy
"The famous athlete <u>Kareem Abdul-Jabbar</u> was originally named <br> Ferdinand Lewis Alcindor, Jr.  </font> <p> </center>"	N/A	N/A	OFF	Restudy
 <u>Francis Scott Key</u> wrote the words to 'The Star Spangled Banner'.  </font> <p> </center>	N/A	N/A	OFF	Restudy
<u>Arigato</u> is 'thank you' in Japanese.</font> <p> </center>	N/A	N/A	OFF	Restudy
"The spreading of atoms or molecules of one substance through those of <br> another, especially into liquids and gases is known as <u>Diffusion</u>. </font> <p> </center>"	N/A	N/A	OFF	Restudy
<u>Saturn</u> is the sixth planet from the Sun. </font> <p> </center>	N/A	N/A	OFF	Restudy
"<u>Cumulus</u> is the term for large, white, puffy clouds that generally appear <br> in fair weather, but that can also form thunderheads on hot days. </font> <p> </center>"	N/A	N/A	OFF	Restudy
"<u>Arthropods</u> is the name of the phylum within the animal kingdom that <br> includes shrimp, centipedes, insects, and spiders. </font> <p> </center>"	N/A	N/A	OFF	Restudy
"On the periodic table, <u>Hg</u> is the symbol for Mercury. </font> <p> </center>"	N/A	N/A	OFF	Restudy
"<u>Eli Whitney</u> invented the cotton gin, a device for processing raw cotton.  </font> <p> </center>"	N/A	N/A	OFF	Restudy
"<u>William Tell</u> was the legendary hero who, famous for his skill as  an archer, <br> was forced to shoot an apple off of his own son's head.  </font> <p> </center>"	N/A	N/A	OFF	Restudy
Animal Farm is a novel written by <u>George Orwell</u>. </font> <p> </center>	N/A	N/A	OFF	Restudy
<u>Archie Griffin</u> was the only college football player to win the Heisman Trophy twice. </font> <p> </center>	N/A	N/A	OFF	Restudy
"<u>Salvador Dali</u> was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. </font> <p> </center>"	N/A	N/A	OFF	Restudy
The capital of Uganda is <u>Kampala</u>. </font> <p> </center>	N/A	N/A	OFF	Restudy
James <u>Madison</u> was the fourth president of the United States. </font> <p> </center>	N/A	N/A	OFF	Restudy
The Latin translation of 'and so forth' is <u>et cetera</u>. </font> <p> </center>	N/A	N/A	OFF	Restudy
<u>Euclid</u> was the ancient Greek mathematician that is considered the <br> 'Father of Geometry'. </font> <p> </center>	N/A	N/A	OFF	Restudy
"<u>Supernova</u> is the term for a large star in its death throes that suddenly <br> explodes, bringing about a burst of radiation that often briefly outshines the entire galaxy.  </font> <p> </center>"	N/A	N/A	OFF	Restudy
<u>Hemophilia</u> is the hereditary disease that is caused by a deficiency of a <br> substance in the blood that aids in clotting. </font> <p> </center>	N/A	N/A	OFF	Restudy
The <u>Humorous</u> is the name of the large bone in the upper arm.  </font> <p> </center>	N/A	N/A	OFF	Restudy
 Ginger comes from the<u> root of a plant</u>.  </font> <p> </center>	N/A	N/A	OFF	Restudy
You will now be tested on the facts you have learned. Press Next when you are ready. 	N/A	N/A	OFF	Initial Study
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> From what Shakespearian play comes the phase 'pound of flesh'? </div> </font>"	Merchant of Venice	Merchant of Venice	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> What famous athlete was originally named Ferdinand Lewis Alcindor, Jr? </div> </font>"	Kareem Abdul-Jabbar	Kareem Abdul-Jabbar	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> Who wrote the words to 'The Star Spangled Banner'? </div> </font>"	Francis Scott Key	Francis Scott Key	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> How do you say 'thank you' in Japanese?  </div>  </font>"	Arigato	Arigato	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> The spreading of atoms or molecules of one substance through those of another, especially into liquids and gases is known as _______.  </div>  </font>"	Diffusion	Diffusion	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> What is the sixth planet from the Sun? </div>  </font>"	Saturn	Saturn	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> What is the term for large, white, puffy clouds that generally appear in fair weather, but that can also form thunderheads on hot days?  </div> </font>"	Cumulus	Cumulus	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> What is the name of the phylum within the animal kingdom that includes shrimp, centipedes, insects, and spiders? </div>   </font>"	Arthropods	Arthropods	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> On the periodic table, what is the symbol for Mercury?  </div> </font>"	Hg	Hg	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> Who invented the cotton gin, a device for processing raw cotton? </div>   </font>"	Eli Whitney	Eli Whitney	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> Who was the legendary hero who, famous for his skill as an archer, was forced to shoot an apple off of his own son's head?  </div> </font>"	William Tell	William Tell	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> Animal Farm is a novel written by _____. </div>  </font>"	George Orwell	George Orwell	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> Who was the only college football player to win the Heisman Trophy twice? </div>  </font>"	Archie Griffin	Archie Griffin	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> _____ was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks.  </div> </font>"	Salvador Dali	Salvador Dali	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> The capital of Uganda is _____.  </div> </font>"	Kampala	Kampala	OFF	fill in the blank
