Cue	Target	Answer	Shuffle	Stimuli Notes
The phase 'pound of flesh' comes from the Shakespearian play <u>Merchant of Venice</u>. </font> 	N/A	N/A	OFF	Initial Study
"The famous athlete <u>Kareem Abdul-Jabbar</u> was originally named <br> Ferdinand Lewis Alcindor, Jr.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
 <u>Francis Scott Key</u> wrote the words to 'The Star Spangled Banner'.  </font> <p> </center>	N/A	N/A	OFF	Initial Study
<u>Arigato</u> is 'thank you' in Japanese.</font> <p> </center>	N/A	N/A	OFF	Initial Study
"The spreading of atoms or molecules of one substance through those of <br> another, especially into liquids and gases is known as <u>Diffusion</u>. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
<u>Saturn</u> is the sixth planet from the Sun. </font> <p> </center>	N/A	N/A	OFF	Initial Study
"<u>Cumulus</u> is the term for large, white, puffy clouds that generally appear <br> in fair weather, but that can also form thunderheads on hot days. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"<u>Arthropods</u> is the name of the phylum within the animal kingdom that <br> includes shrimp, centipedes, insects, and spiders. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"On the periodic table, <u>Hg</u> is the symbol for Mercury. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"<u>Eli Whitney</u> invented the cotton gin, a device for processing raw cotton.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
"<u>William Tell</u> was the legendary hero who, famous for his skill as  an archer, <br> was forced to shoot an apple off of his own son's head.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
Animal Farm is a novel written by <u>George Orwell</u>. </font> <p> </center>	N/A	N/A	OFF	Initial Study
<u>Archie Griffin</u> was the only college football player to win the Heisman Trophy twice. </font> <p> </center>	N/A	N/A	OFF	Initial Study
"<u>Salvador Dali</u> was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. </font> <p> </center>"	N/A	N/A	OFF	Initial Study
The capital of Uganda is <u>Kampala</u>. </font> <p> </center>	N/A	N/A	OFF	Initial Study
James <u>Madison</u> was the fourth president of the United States. </font> <p> </center>	N/A	N/A	OFF	Initial Study
The Latin translation of 'and so forth' is <u>et cetera</u>. </font> <p> </center>	N/A	N/A	OFF	Initial Study
<u>Euclid</u> was the ancient Greek mathematician that is considered the <br> 'Father of Geometry'. </font> <p> </center>	N/A	N/A	OFF	Initial Study
"<u>Supernova</u> is the term for a large star in its death throes that suddenly <br> explodes, bringing about a burst of radiation that often briefly outshines the entire galaxy.  </font> <p> </center>"	N/A	N/A	OFF	Initial Study
<u>Hemophilia</u> is the hereditary disease that is caused by a deficiency of a <br> substance in the blood that aids in clotting. </font> <p> </center>	N/A	N/A	OFF	Initial Study
The <u>Humorous</u> is the name of the large bone in the upper arm.  </font> <p> </center>	N/A	N/A	OFF	Initial Study
 Ginger comes from the<u> root of a plant</u>.  </font> <p> </center>	N/A	N/A	OFF	Initial Study
You will now be tested on the facts you have learned. Press Next when you are ready. 	N/A	N/A	OFF	Review Instructions
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> From what Shakespearian play comes the phase 'pound of flesh'? <br>A. Julius Caesar, <br>B. Hamlet,<br> C. Romeo and Juliet,<br> D. Merchant of Venice </div> </font>"	Merchant of Venice	Merchant of Venice	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style = ""line-height:1.2em;"" What famous athlete was originally named Ferdinand Lewis Alcindor, Jr? A. Mohammad Ali, B. Tiger Woods, C. Kareem Abdul-Jabbar, D. Hulk Hogan </div> </font>"	Kareem Abdul-Jabbar	Kareem Abdul-Jabbar	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> Who wrote the words to 'The Star Spangled Banner'? <br>A. Francis Scott key, <br>B. Robert Schumann,<br> C. Stephen Foster, <br>D. George M. Cohan </div> </font> "	Francis Scott Key	Francis Scott Key	OFF	fill in the blank
"<font size = ""5"" color = ""black""> <div style=""line-height:1.2em;"">How do you say 'thank you' in Japanese? <br> A. Arigato, <br> B. Sayonara, <br>C. Xie xie, <br>D. Obrigado  </div> </font>"	Arigato	Arigato	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">The spreading of atoms or molecules of one substance through those of another, especially into liquids and gases is known as _______. <br>A. Entropy, <br>B. Diffraction, <br>C. Diffusion, <br>D. Distillation  </div> </font>"	Diffusion	Diffusion	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">What is the sixth planet from the Sun? <br>A. Neptune, <br>B. Uranus, <br>C. Saturn, <br>D. Jupiter </div> </font>"	Saturn	Saturn	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">What is the term for large, white, puffy clouds that generally appear in fair weather, but that can also form thunderheads on hot days? <br>A. Stratus, <br>B. Nimbus, <br>C. Cirrus,<br> D. Cumulus  </div> </font>"	Cumulus	Cumulus	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">What is the name of the phylum within the animal kingdom that includes shrimp, centipedes, insects, and spiders? <br>A. Chordates, <br>B. Arthropods, <br>C. Mollusks, <br>D. Echinoderms </div> </font>"	Arthropods	Arthropods	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">On the periodic table, what is the symbol for Mercury? <br>A. Ag, <br>B. Au, <br>C. Hg,<br> D. Fe  </div> </font>"	Hg	Hg	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Who invented the cotton gin, a device for processing raw cotton?<br> A. Robert Fulton,<br> B. Guglielmo Marconi, <br>C. Thomas Edison, <br>D. Eli Whitney  </div> </font>"	Eli Whitney	Eli Whitney	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Who was the legendary hero who, famous for his skill as an archer, was forced to shoot an apple off of his own son's head? <br>A. William Tell, <br>B. Sir Galahad, <br>C. Robin Hood, <br>D. Sir Lancelot  </div> </font>"	William Tell	William Tell	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Animal Farm is a novel written by _____. A. Aldous Huxley, B. Jonathan Swift, C. Kurt Vonnegut, D. George Orwell </div> </font>"	George Orwell	George Orwell	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Who was the only college football player to win the Heisman Trophy twice?<br> A. Earl Campbell,<br> B. Archie Griffin, <br>C. Jay Beranger, <br>D. Tim Tebow  </div> </font>"	Archie Griffin	Archie Griffin	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;""> _____ was a Spanish surrealist painter of the twentieth century, known for his iconic use of melting clocks. <br>A. Diego Rivera, <br>B. Francisco Goya, <br>C. Pablo Picasso, <br>D. Salvador Dali  </div> </font>"	Salvador Dali	Salvador Dali	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">The capital of Uganda is _____. A. Addis Ababa, B. Nairobi, C. Lagos, D. Kampala  </div> </font>"	Kampala	Kampala	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Who was the fourth president of the United States? <br>A. Jefferson, <br>B. Madison, <br>C. Adams, <br>D. Jackson  </div> </font>"	Madison	Madison	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">The Latin translation of 'and so forth' is ______. <br>A. ergo, <br>B. ad hoc, <br>C. et cetera, <br>D. ad nauseam  </div> </font>"	Et Cetera	Et Cetera	OFF	fill in the blank
" <font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Who was the ancient Greek mathematician that is considered the 'Father of Geometry'? <br>A. Euclid, <br>B. Ptolemy, <br>C. Aristotle, <br>D. Archimedes  </div> </font>"	Euclid	Euclid	OFF	fill in the blank
"<font size=""5"" color=""black"">  <div style=""line-height:1.2em;"">What is the term for a large star in its death throes that suddenly explodes, bringing about a burst of radiation that often briefly outshines the entire galaxy? <br>A. Quasar, <br>B. Pulsar, <br>C. Supernova,<br> D. Red Giant  </div> </font>"	Supernova	Supernova	OFF	fill in the blank
"
<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">What is the hereditary disease that is caused by a deficiency of a substance in the blood that aids in clotting? <br>A. Hodgkin's disease, <br>B. Hemophilia, <br>C. Polio, <br>D. Hepatitis  </div> </font>"	Hemophilia 	Hemophilia 	OFF	fill in the blank
"
<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">What is the name of the large bone in the upper arm? <br>A. Ulna, <br>B. Femur, <br>C. Tibia, <br>D. Humorous  </div> </font>"	Humorous	Humorous	OFF	fill in the blank
"<font size=""5"" color=""black""> <div style=""line-height:1.2em;"">Ginger comes from what part of a plant? <br>A. stigma of a flower, <br>B. dried flower buds, <br>C. a root, <br>D. seeds of a fruit  </div> </font>"	Root	Root	OFF	fill in the blank
End of Review. You will now be presented the questions again. When thinking of the answer to these questions many candidate answers may come to mind. You will be asked to list these possible answers in the order that they come to mind. Please list all answers that come to mind regardless of how many there may be. 	N/A	N/A	OFF	
"After listing all candidate answers, you will be asked to choose a final answer and rate your confidence on a scale of 0 to 100, with 0 being a blind guess and 100 being full confidence. "	N/A	N/A	OFF	
You will then be given the option to submit or withhold your answer. You will gain 1 point(+1) for each correct answer submited and lose 1 point(-1) for each incorrect answer submited. There is no reward or penalty for withholding an answer (0 points)	N/A	N/A	OFF	Post-Trial Instructions
"<font size=""5"" color=""black""> From what Shakespearian play comes the phase 'pound of flesh'? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
"<font size=""5"" color=""black""> What famous athlete was originally named Ferdinand Lewis Alcindor, Jr? List candidate answers in the order that they come to mind. </font>"	N/A	N/A	OFF	Question 
"<font size =""5"" color =""black""><div style=""line-height:1.2em;""> What is your final answer? </div> </font>"	N/A	N/A	OFF	Final Answer
"<font size=""5"" color=""black""><div style=""line-height:1.2em;"">On a Scale of 1-100 how confident are you with your answer? </div></font>"	N/A	N/A	OFF	Confidence
"<font size=""5"" color=""black""><div style=""line-height:1.2em;""> Do you choose to submit your answer? Type Y for Yes or N for no. Then click submit. (+1 for correct answer, -1 for wrong answer, 0 for no answer) </div></font>"	N/A	N/A	OFF	Submit? 
